Time,Temperature_change,Pressure_mean
0.0,8.230529,1000.2
72.0,8.230529,1006.25
116.0,3.0305285,1019.9
37.0,-2.5694714,1020.65
99.0,3.0505285,1025.05
7.0,8.370529,1037.1
16.0,2.8305285,1036.0
73.0,8.350529,1029.35
36.0,13.390529,1027.4
83.0,7.9405284,1029.35
36.0,13.010529,1025.2
25.0,7.7705283,1025.6
32.0,2.6005285,1028.55
14.0,9.000529,1025.45
12.0,3.8905284,1019.35
10.0,10.910529,1012.55
38.0,5.6305285,1005.5
32.0,11.160529,997.25
92.0,4.1405287,990.8
32.0,9.820529,993.8
55.0,3.8505285,1011.1
5.0,-1.3194714,1021.5
26.0,3.7305286,1017.3499999999999
13.0,9.200529,1016.3
40.0,3.8805285,1019.75
19.0,9.040529,1022.5999999999999
14.0,14.470529,1020.3499999999999
9.0,9.030529,1015.65
11.0,14.900529,1014.2
21.0,9.520529,1016.75
89.0,4.1205287,1010.95
8.0,9.290529,1003.0
17.0,3.1805286,1004.6
10.0,8.700529,1007.3
56.0,3.2905285,1007.5
14.0,8.540529,1005.4
43.0,2.9805286,999.2
26.0,8.060529,994.35
90.0,2.9505286,999.95
8.0,8.330529,1006.9000000000001
15.0,3.2205286,1012.0
8.0,8.8005295,1017.45
16.0,3.7805285,1020.25
10.0,9.900529,1023.1
14.0,4.2605286,1025.15
14.0,9.720529,1025.4
9.0,4.3205285,1025.5500000000002
13.0,9.960529,1026.15
13.0,4.6505284,1026.15
7.0,10.660529,1025.5
6.0,5.4905286,1026.15
8.0,0.35052866,1025.65
27.0,5.6005287,1020.65
7.0,11.420529,1019.0
6.0,6.1805286,1023.6999999999999
8.0,1.0805286,1026.05
26.0,7.1305285,1022.95
12.0,12.430529,1019.8499999999999
14.0,7.2405286,1018.75
6.0,12.310529,1018.4000000000001
18.0,6.3005285,1017.6500000000001
6.0,11.390529,1016.95
17.0,5.8405285,1017.1500000000001
11.0,11.000529,1016.6
12.0,5.5105286,1013.8
8.0,10.980529,1010.8
9.0,5.3605285,1010.4000000000001
4.0,-0.17947134,1010.25
28.0,5.7605286,1013.3499999999999
49.0,10.790529,1016.0
5.0,16.63053,1014.9000000000001
4.0,11.0505295,1014.2
4.0,5.6005287,1012.6
21.0,11.200529,1012.5
10.0,5.3105288,1011.15
50.0,10.470529,1010.45
10.0,17.64053,1011.5
6.0,11.920529,1010.3499999999999
4.0,6.0605288,1009.05
2.0,12.020529,1006.7
5.0,17.490528,1004.2
4.0,22.98053,1002.2
6.0,14.930529,1003.3
33.0,8.980529,1009.65
5.0,15.430529,1013.75
5.0,20.71053,1013.1500000000001
15.0,14.610529,1012.5
10.0,20.600529,1010.65
31.0,15.560529,1008.05
35.0,10.380529,1009.3
7.0,15.470529,1012.75
85.0,9.180529,1011.3
11.0,14.650529,1010.0
12.0,8.840529,1010.55
17.0,15.160529,1011.1
7.0,9.890529,1011.55
16.0,15.820529,1010.6
35.0,10.410529,1012.0
9.0,15.500529,1012.8
13.0,8.930529,1010.45
18.0,15.5505295,1006.9000000000001
3.0,10.490529,1004.3
26.0,15.670529,1007.95
2.0,6.0505285,1011.05
13.0,11.440529,1013.9000000000001
33.0,6.3905287,1022.3000000000001
15.0,11.630529,1026.95
7.0,5.5505285,1026.6
4.0,11.370529,1025.4
8.0,17.850529,1024.55
6.0,11.530529,1024.3
6.0,5.6805286,1023.8
3.0,11.700529,1022.65
17.0,17.910528,1019.9
7.0,11.310529,1017.0
15.0,17.12053,1013.05
17.0,12.060529,1011.25
8.0,6.7605286,1014.2
9.0,1.4105287,1015.35
14.0,7.7105284,1015.8
10.0,1.6005287,1015.5
24.0,9.090529,1010.45
45.0,3.9705286,1011.0
28.0,8.970529,1015.95
11.0,14.330529,1016.85
8.0,8.520529,1015.65
11.0,14.030529,1014.5
40.0,8.740529,1017.6500000000001
34.0,14.980529,1023.8
8.0,9.390529,1027.9
3.0,4.1005287,1028.55
6.0,10.400529,1026.75
7.0,15.600529,1024.85
5.0,10.460529,1024.5
6.0,5.0705285,1023.25
4.0,12.3005295,1020.0
9.0,17.840528,1017.25
13.0,12.610529,1016.15
13.0,18.840528,1014.4
10.0,12.980529,1012.3
14.0,18.55053,1011.45
10.0,12.760529,1011.4
5.0,17.990528,1009.85
5.0,23.410528,1008.0
4.0,17.54053,1009.0
10.0,11.420529,1011.2
6.0,17.500528,1011.6500000000001
7.0,22.690529,1010.7
13.0,16.80053,1009.2
10.0,22.38053,1008.1
6.0,16.860529,1007.5
5.0,11.210529,1006.0999999999999
84.0,16.22053,1009.65
7.0,11.010529,1016.3
9.0,5.7805285,1019.7
12.0,11.230529,1021.5999999999999
7.0,5.2805285,1021.3499999999999
29.0,10.560529,1019.55
11.0,16.13053,1017.8499999999999
9.0,10.120529,1015.0
19.0,15.470529,1010.85
25.0,10.180529,1014.8
3.0,4.9605284,1020.9
4.0,11.190529,1020.0999999999999
17.0,16.830528,1018.9
4.0,11.720529,1017.95
4.0,17.45053,1016.7
9.0,22.990528,1014.75
13.0,17.590528,1011.25
8.0,24.07053,1008.8499999999999
4.0,18.87053,1009.9
30.0,13.760529,1012.85
8.0,8.680529,1014.9000000000001
10.0,14.990529,1014.35
10.0,9.840529,1013.1
4.0,14.860529,1012.25
13.0,19.910528,1012.8
8.0,14.640529,1013.05
16.0,21.07053,1012.9
7.0,15.760529,1012.8499999999999
16.0,21.440529,1012.7
8.0,15.770529,1012.3
18.0,21.100529,1008.2
201.0,15.350529,1011.2
38.0,20.410528,1018.95
11.0,14.400529,1019.8
15.0,19.670528,1017.95
8.0,14.430529,1015.85
12.0,20.250528,1014.55
11.0,14.750529,1011.95
18.0,20.57053,1008.8
92.0,15.320529,1005.15
8.0,9.750529,1001.25
112.0,15.700529,1011.75
9.0,10.5505295,1022.15
4.0,16.40053,1020.0
12.0,21.45053,1019.5
31.0,15.640529,1020.3499999999999
4.0,20.850529,1020.8499999999999
10.0,27.760529,1020.2
12.0,22.38053,1018.1500000000001
16.0,27.72053,1016.1500000000001
7.0,22.660528,1015.25
11.0,28.29053,1014.75
23.0,23.190529,1015.1
6.0,17.54053,1016.95
9.0,12.480529,1017.65
16.0,17.95053,1018.2
7.0,12.240529,1019.15
18.0,18.12053,1018.75
5.0,13.030529,1018.0
30.0,18.850529,1015.3
9.0,24.21053,1012.6500000000001
37.0,18.96053,1014.0
14.0,24.770529,1014.4
22.0,19.56053,1016.4
11.0,14.560529,1019.05
13.0,19.760529,1019.05
9.0,14.620529,1018.8
28.0,20.010529,1017.0
7.0,25.05053,1016.55
30.0,20.04053,1017.7
7.0,14.8005295,1018.2
25.0,20.82053,1016.25
13.0,25.920528,1016.3
12.0,19.72053,1017.55
12.0,25.440529,1016.5
10.0,20.39053,1013.9
5.0,25.910528,1011.4
8.0,31.37053,1010.3
5.0,25.96053,1009.8
4.0,19.82053,1009.5999999999999
19.0,24.87053,1010.5
23.0,19.73053,1012.6
82.0,14.610529,1017.95
15.0,19.760529,1021.95
6.0,14.170529,1021.05
5.0,20.680529,1020.1
9.0,26.31053,1019.45
12.0,20.07053,1018.6
13.0,25.55053,1018.7
10.0,20.15053,1018.3499999999999
17.0,25.79053,1016.0999999999999
7.0,20.740528,1014.0999999999999
4.0,27.010529,1013.0999999999999
7.0,32.450527,1011.95
7.0,26.270529,1011.4
6.0,21.21053,1012.0
14.0,26.40053,1012.85
109.0,21.15053,1015.5
8.0,26.590528,1017.25
19.0,21.04053,1015.9
7.0,26.080528,1015.3
29.0,20.580528,1015.3499999999999
4.0,15.290529,1014.25
6.0,20.48053,1013.6500000000001
10.0,25.95053,1013.35
10.0,20.22053,1012.2
16.0,25.270529,1010.8499999999999
26.0,19.910528,1013.8
8.0,14.820529,1017.0999999999999
47.0,20.05053,1014.95
12.0,25.520529,1013.15
11.0,19.29053,1012.2
9.0,24.37053,1011.45
29.0,17.73053,1017.25
10.0,12.600529,1022.85
18.0,19.190529,1024.35
6.0,14.0505295,1025.6
6.0,20.500528,1024.55
7.0,25.590528,1023.4000000000001
12.0,19.56053,1021.25
11.0,25.05053,1019.3499999999999
26.0,19.600529,1019.05
38.0,14.430529,1020.7
11.0,19.47053,1022.95
11.0,14.260529,1023.05
24.0,20.240528,1022.0
13.0,25.530529,1021.3
10.0,20.48053,1020.7
14.0,26.12053,1019.45
10.0,20.690529,1018.05
13.0,25.860529,1016.7
12.0,20.280529,1014.55
12.0,26.45053,1012.3499999999999
12.0,20.830528,1010.2
10.0,26.100529,1009.0
73.0,20.96053,1013.65
15.0,15.870529,1019.3499999999999
9.0,21.100529,1022.4
13.0,15.970529,1024.35
12.0,21.37053,1025.8
10.0,16.23053,1025.8
4.0,22.740528,1024.15
7.0,28.240528,1022.95
5.0,22.090528,1022.25
8.0,16.840528,1021.2
3.0,23.31053,1020.15
8.0,28.98053,1018.95
5.0,23.930529,1017.95
9.0,18.490528,1017.0
3.0,25.250528,1015.65
8.0,31.32053,1015.0999999999999
14.0,25.29053,1014.9
11.0,30.340528,1015.5
13.0,25.170528,1015.6
11.0,30.47053,1015.2
12.0,24.350529,1015.0
12.0,29.87053,1015.1500000000001
24.0,24.46053,1017.55
5.0,18.580528,1019.75
7.0,13.520529,1019.85
2.0,20.97053,1019.75
8.0,26.440529,1019.25
5.0,20.79053,1019.2
8.0,15.700529,1019.1500000000001
4.0,21.30053,1018.6
7.0,27.29053,1019.0
18.0,22.12053,1019.8499999999999
7.0,27.270529,1020.45
15.0,21.54053,1020.05
9.0,26.780529,1019.2
14.0,21.740528,1017.45
11.0,27.760529,1016.0
13.0,22.430529,1014.6
6.0,27.88053,1015.2
28.0,20.920528,1020.1500000000001
13.0,15.850529,1023.1500000000001
13.0,20.910528,1022.3
11.0,15.090529,1019.8
15.0,21.05053,1016.4000000000001
8.0,15.980529,1014.4000000000001
3.0,22.690529,1013.9000000000001
8.0,27.830528,1013.85
7.0,22.770529,1015.45
7.0,16.670528,1016.65
4.0,21.97053,1015.8
7.0,27.160528,1015.55
16.0,21.410528,1015.6
8.0,27.05053,1015.85
15.0,21.910528,1016.55
8.0,27.360529,1016.6
8.0,22.270529,1016.55
5.0,16.88053,1016.7
4.0,23.750528,1016.45
7.0,29.47053,1016.0
15.0,22.98053,1014.7
9.0,28.04053,1012.5999999999999
7.0,22.48053,1011.9
6.0,17.430529,1012.0
3.0,22.71053,1011.75
8.0,27.990528,1010.5
7.0,21.100529,1009.45
9.0,15.590529,1010.55
16.0,21.360529,1013.1500000000001
11.0,16.270529,1014.1
6.0,21.430529,1013.8
78.0,16.40053,1015.65
7.0,11.370529,1016.9
13.0,17.530529,1016.7
12.0,12.450529,1017.05
11.0,17.690529,1018.2
